0	-4.5	0.5
1	-4.5	1.5
2	-4.5	2.5
3	-3.5	-1.5
4	-3.5	-0.5
5	-3.5	0.5
6	-3.5	1.5
7	-3.5	2.5
8	-3.5	3.5
9	-2.5	-4.5
10	-2.5	-3.5
11	-2.5	-2.5
12	-2.5	-1.5
13	-2.5	-0.5
14	-2.5	0.5
15	-2.5	1.5
16	-2.5	2.5
17	-2.5	3.5
18	-1.5	-4.5
19	-1.5	-3.5
20	-1.5	-2.5
21	-1.5	-1.5
22	-1.5	-0.5
23	-1.5	0.5
24	-1.5	1.5
25	-1.5	2.5
26	-1.5	3.5
27	-0.5	-4.5
28	-0.5	-3.5
29	-0.5	-2.5
30	-0.5	-1.5
31	-0.5	-0.5
32	-0.5	0.5
33	-0.5	1.5
34	-0.5	2.5
35	-0.5	3.5
36	0.5	-4.5
37	0.5	-3.5
38	0.5	-2.5
39	0.5	-1.5
40	0.5	-0.5
41	0.5	0.5
42	0.5	1.5
43	0.5	2.5
44	0.5	3.5
45	1.5	-4.5
46	1.5	-3.5
47	1.5	-2.5
48	1.5	-1.5
49	1.5	-0.5
50	1.5	0.5
51	1.5	1.5
52	1.5	2.5
53	1.5	3.5
54	2.5	-3.5
55	2.5	-2.5
56	2.5	-1.5
57	2.5	-0.5
58	2.5	0.5
59	2.5	1.5
60	2.5	2.5
61	2.5	3.5
62	3.5	-1.5
63	3.5	-0.5
64	3.5	0.5
65	3.5	1.5
66	3.5	2.5
67	3.5	3.5
68	4.5	1.5
69	4.5	2.5
