0	-5.5	1.5
1	-5.5	2.5
2	-4.5	0.5
3	-4.5	1.5
4	-4.5	2.5
5	-4.5	3.5
6	-3.5	-1.5
7	-3.5	-0.5
8	-3.5	0.5
9	-3.5	1.5
10	-3.5	2.5
11	-3.5	3.5
12	-2.5	-3.5
13	-2.5	-2.5
14	-2.5	-1.5
15	-2.5	-0.5
16	-2.5	0.5
17	-2.5	1.5
18	-2.5	2.5
19	-2.5	3.5
20	-1.5	-4.5
21	-1.5	-3.5
22	-1.5	-2.5
23	-1.5	-1.5
24	-1.5	-0.5
25	-1.5	0.5
26	-1.5	1.5
27	-1.5	2.5
28	-1.5	3.5
29	-0.5	-4.5
30	-0.5	-3.5
31	-0.5	-2.5
32	-0.5	-1.5
33	-0.5	-0.5
34	-0.5	0.5
35	-0.5	1.5
36	-0.5	2.5
37	-0.5	3.5
38	0.5	-4.5
39	0.5	-3.5
40	0.5	-2.5
41	0.5	-1.5
42	0.5	-0.5
43	0.5	0.5
44	0.5	1.5
45	0.5	2.5
46	0.5	3.5
47	1.5	-4.5
48	1.5	-3.5
49	1.5	-2.5
50	1.5	-1.5
51	1.5	-0.5
52	1.5	0.5
53	1.5	1.5
54	1.5	2.5
55	1.5	3.5
56	2.5	-4.5
57	2.5	-3.5
58	2.5	-2.5
59	2.5	-1.5
60	2.5	-0.5
61	2.5	0.5
62	2.5	1.5
63	2.5	2.5
64	2.5	3.5
65	3.5	-2.5
66	3.5	-1.5
67	3.5	-0.5
68	3.5	0.5
69	3.5	1.5
70	3.5	2.5
